case_id,source_year,stock_code_raw,stock_code_wind,dataset_split,official_match_status,official_match_method,official_listed_date,institution_id,security_id,selected_name,has_ipo_information,has_institution_info,has_delisted_info,official_ipo_price,official_offer_price,official_delisted_date,official_listing_board_id,official_list_method,official_industry_name,official_funds_raised,official_net_proceed,eod_available,first_eod_trade_date,listed_date_eod_relation,source_workbook,source_workbook_sha256,notes
ipo_2020_01490,2020,01490,1490.HK,development,matched,symbol+next_year+ipo,2021-01-15,10523432,201004192845,网上车市,true,true,false,1.23,1.2300,,P3401,全球發售,广告及宣传,"288,558,000","243,000,000",true,20210115,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01502,2020,01502,1502.HK,development,matched,symbol+source_year+ipo,2020-07-06,10485440,201004189623,金融街物业,true,true,false,7.36,7.3600,,P3401,全球發售,物业服务及管理,"761,760,000","704,200,000",true,20200706,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01516,2020,01516,1516.HK,development,matched,symbol+source_year+ipo,2020-11-19,10507675,201004191966,融创服务,true,true,false,11.6,11.6000,,P3401,全球發售,物业服务及管理,"9,204,600,000","90,422,000,000",true,20201119,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01597,2020,01597,1597.HK,development,matched,symbol+source_year+ipo,2020-10-20,10501854,201004191487,纳泉能源科技,true,true,false,2,2.0000,,P3401,全球發售,环保工程,"125,000,000","93,500,000",true,20201020,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01643,2020,01643,1643.HK,development,matched,symbol+next_year+ipo,2021-01-15,10523486,201004192854,现代中药集团,true,true,false,1.18,1.1800,,P3401,全球發售,中医药,"177,000,000","117,400,000",true,20210115,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01645,2020,01645,1645.HK,development,matched,symbol+source_year+ipo,2020-06-03,10492640,201004189104,海纳智能,true,true,false,1.38,1.3800,,P3401,股份發售,工业零件及器材,"168,365,520","129,900,000",true,20200603,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01650,2020,01650,1650.HK,development,matched,symbol+source_year+ipo,2020-07-03,10482684,201004187715,Hygieia Group,true,true,false,0.25,0.2500,,P3401,股份發售,其他支援服务,"125,000,000","69,200,000",true,20200703,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01795,2020,01795,1795.HK,development,matched,symbol+source_year+ipo,2020-11-18,10506087,201004191869,亚东集团,true,true,false,0.84,0.8400,,P3401,股份發售,纺织品及布料,"126,000,000","81,900,000",true,20201118,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01855,2020,01855,1855.HK,development,matched,symbol+next_year+ipo,2021-01-06,10519164,201004192689,中邦环境,true,true,false,2,2.0000,,P3401,全球發售,楼宇建造,"110,000,000","54,700,000",true,20210106,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01859,2020,01859,1859.HK,development,matched,symbol+source_year+ipo,2020-03-13,10484326,201004188226,煜盛文化,true,true,true,2.26,2.2600,2025-02-04,P3401,全球發售,广播,"904,000,000","829,900,000",true,20200313,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01936,2020,01936,1936.HK,development,matched,symbol+source_year+ipo,2020-05-13,10490359,201004188825,Ritamix,true,true,false,1,1.0000,,P3401,股份發售,禽畜饲料,"125,000,000","72,400,000",true,20200513,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01940,2020,01940,1940.HK,development,matched,symbol+source_year+ipo,2020-12-29,10505909,201004191830,CGII Holdings,true,true,false,1.37,1.3700,,P3401,全球發售,气油生产商,"411,000,000","315,900,000",true,20201229,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01941,2020,01941,1941.HK,development,matched,symbol+source_year+ipo,2020-03-13,10484327,201004188227,烨星集团,true,true,false,1.56,1.5600,,P3401,全球發售,物业服务及管理,"164,284,000","129,360,000",true,20200313,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01942,2020,01942,1942.HK,development,matched,symbol+source_year+ipo,2020-04-15,10487157,201004188486,MOG Holdings,true,true,false,1,1.0000,,P3401,全球發售,支付服务,"125,000,000","91,100,000",true,20200415,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01945,2020,01945,1945.HK,development,matched,symbol+source_year+ipo,2020-12-30,10516676,201004192624,清科创业,true,true,false,11,11.0000,,P3401,全球發售,其他金融,"506,000,000","456,100,000",true,20201230,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01950,2020,01950,1950.HK,development,matched,symbol+source_year+ipo,2020-03-12,10484282,201004188204,深蓝科技控股,true,true,false,0.52,0.5200,,P3401,全球發售,特殊化工用品,"130,000,000","84,700,000",true,20200312,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01952,2020,01952,1952.HK,development,matched,symbol+source_year+ipo,2020-10-09,10501227,201004191445,云顶新耀─B,true,true,false,55,55.0000,,P3401,全球發售,生物技术,"4,019,345,000","32,784,700,000",true,20201009,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01953,2020,01953,1953.HK,development,matched,symbol+source_year+ipo,2020-04-28,10489072,201004188648,Rimbaco Group,true,true,false,0.4,0.4000,,P3401,股份發售,楼宇建造,"126,000,000","73,500,000",true,20200428,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
