run_id,category,status,primary_summary,selected_mode,case_count,m1_numerator,m1_denominator,m1,m2_numerator,m2_denominator,m2,real_llm_case_count,structured_scope_valid_count,call_count,fallback_count,transport_failure_count,response_validation_failure_count,validation_opened,blind_2025_outcome_accessed,summary_artifact_count
ablation/batch057_governed_provenance_ipo_2021_03658,ablation,complete,ablation_summary.json,offline,1,0,2,0.0,0,9,0.0,0,0,0,0,0,0,False,False,5
ablation/batch058_all79_governed_provenance,ablation,complete,ablation_summary.json,offline,79,28,102,0.27450980392156865,50,191,0.2617801047120419,0,0,0,0,0,0,False,False,5
ablation/batch059_parsed_support_ipo_2020_00368,ablation,complete,ablation_summary.json,offline,1,2,3,0.6666666666666666,5,8,0.625,0,0,0,0,0,0,False,False,5
ablation/batch059_parsed_support_ipo_2020_08489,ablation,complete,ablation_summary.json,offline,1,1,2,0.5,2,4,0.5,0,0,0,0,0,0,False,False,5
ablation/batch059_parsed_support_ipo_2021_00606,ablation,complete,ablation_summary.json,offline,1,1,2,0.5,1,4,0.25,0,0,0,0,0,0,False,False,5
ablation/batch059_parsed_support_ipo_2021_03658,ablation,complete,ablation_summary.json,offline,1,0,2,0.0,2,9,0.2222222222222222,0,0,0,0,0,0,False,False,5
ablation/batch059_parsed_support_ipo_2023_01111,ablation,complete,ablation_summary.json,offline,1,0,1,0.0,1,1,1.0,0,0,0,0,0,0,False,False,5
ablation/batch060_all79_parsed_support,ablation,complete,ablation_summary.json,offline,79,29,102,0.28431372549019607,54,191,0.28272251308900526,0,0,0,0,0,0,False,False,5
ablation/batch061_concentration_phrases_ipo_2020_02057,ablation,complete,ablation_summary.json,offline,1,0,1,0.0,0,2,0.0,0,0,0,0,0,0,False,False,5
ablation/batch061_concentration_phrases_ipo_2020_09633,ablation,complete,ablation_summary.json,offline,1,,0,,,0,,0,0,0,0,0,0,False,False,5
ablation/batch061_concentration_phrases_ipo_2022_00816,ablation,complete,ablation_summary.json,offline,1,0,1,0.0,0,1,0.0,0,0,0,0,0,0,False,False,5
ablation/batch061_concentration_phrases_ipo_2022_01406,ablation,complete,ablation_summary.json,offline,1,0,1,0.0,0,1,0.0,0,0,0,0,0,0,False,False,5
ablation/batch061_concentration_phrases_ipo_2022_01880,ablation,complete,ablation_summary.json,offline,1,0,2,0.0,0,2,0.0,0,0,0,0,0,0,False,False,5
ablation/batch061_concentration_phrases_ipo_2022_02602,ablation,complete,ablation_summary.json,offline,1,0,2,0.0,0,3,0.0,0,0,0,0,0,0,False,False,5
ablation/batch061_concentration_phrases_ipo_2022_06698,ablation,complete,ablation_summary.json,offline,1,0,2,0.0,0,4,0.0,0,0,0,0,0,0,False,False,5
ablation/batch061_concentration_phrases_ipo_2022_09863,ablation,complete,ablation_summary.json,offline,1,0,1,0.0,0,1,0.0,0,0,0,0,0,0,False,False,5
ablation/batch062_all79_concentration_phrases,ablation,complete,ablation_summary.json,offline,79,30,102,0.29411764705882354,55,191,0.2879581151832461,0,0,0,0,0,0,False,False,5
ablation/batch063_fresh20_semantic_transfer,ablation,complete,ablation_summary.json,gated,20,24,50,0.48,41,98,0.41836734693877553,20,73,80,7,0,7,False,False,5
ablation/batch064_fresh20_fixed10_slice_replay,ablation,complete,ablation_summary.json,offline,10,11,30,0.36666666666666664,19,48,0.3958333333333333,20,73,80,7,0,7,False,False,5
ablation/batch065_fresh20_extra10_slice_replay,ablation,complete,ablation_summary.json,offline,10,7,20,0.35,15,50,0.3,20,73,80,7,0,7,False,False,5
ablation/batch066_concentration_evidence_probe10,ablation,complete,ablation_summary.json,offline,10,13,26,0.5,33,75,0.44,0,0,0,0,0,0,False,False,5
ablation/batch067_all79_ranked_disclosure_support,ablation,complete,ablation_summary.json,offline,79,31,102,0.30392156862745096,60,191,0.31413612565445026,0,0,0,0,0,0,False,False,5
ablation/batch068_fresh20_ranked_disclosure_transfer,ablation,complete,ablation_summary.json,gated,20,23,50,0.46,41,98,0.41836734693877553,20,75,80,5,0,5,False,False,5
ablation/batch070_structured_field_feedback_probe4,ablation,complete,ablation_summary.json,gated,4,4,10,0.4,11,27,0.4074074074074074,4,11,16,5,0,5,False,False,5
ablation/batch072_bounded_normalization_probe4,ablation,complete,ablation_summary.json,gated,4,4,10,0.4,11,27,0.4074074074074074,4,14,16,2,0,2,False,False,5
ablation/batch073_all79_post_legal_scalar_normalization,ablation,complete,ablation_summary.json,offline,79,31,102,0.30392156862745096,60,191,0.31413612565445026,0,0,0,0,0,0,False,False,5
